order_id,timestamp_ns,symbol_id,side,type,price,quantity,time_in_force
1,1700000000000044848,1,BUY,LIMIT,9993,5,GTC
2,1700000000000059676,1,SELL,LIMIT,10000,5,IOC
3,1700000000000107101,1,SELL,MARKET,0,10,IOC
4,1700000000000118064,1,SELL,LIMIT,10000,1,GTC
5,1700000000000125262,1,BUY,LIMIT,9993,25,GTC
6,1700000000000173585,1,BUY,LIMIT,9995,1,GTC
7,1700000000000215283,1,SELL,LIMIT,9996,20,GTC
8,1700000000000259119,1,SELL,LIMIT,9991,1,GTC
9,1700000000000284530,1,SELL,LIMIT,10010,5,GTC
10,1700000000000328950,1,BUY,LIMIT,9987,10,GTC
11,1700000000000364455,1,SELL,LIMIT,9983,10,GTC
12,1700000000000409821,1,BUY,LIMIT,9991,10,GTC
13,1700000000000436611,1,SELL,LIMIT,9989,25,GTC
14,1700000000000451045,1,BUY,LIMIT,9999,25,GTC
15,1700000000000460695,1,BUY,LIMIT,10003,20,GTC
16,1700000000000484918,1,SELL,LIMIT,10004,50,GTC
17,1700000000000492603,1,SELL,LIMIT,9994,1,GTC
18,1700000000000518112,1,SELL,LIMIT,9990,50,GTC
19,1700000000000563195,1,SELL,LIMIT,9995,1,GTC
20,1700000000000571005,1,BUY,LIMIT,10004,25,GTC
21,1700000000000604311,1,BUY,LIMIT,10009,20,GTC
22,1700000000000614827,1,BUY,LIMIT,10009,10,GTC
23,1700000000000654579,1,SELL,LIMIT,10005,1,GTC
24,1700000000000670771,1,BUY,LIMIT,9991,20,GTC
25,1700000000000675806,1,BUY,LIMIT,9979,100,GTC
26,1700000000000693676,1,SELL,LIMIT,10001,10,GTC
27,1700000000000740899,1,SELL,LIMIT,9987,10,GTC
28,1700000000000749329,1,BUY,LIMIT,9991,100,GTC
29,1700000000000750300,1,BUY,LIMIT,9996,10,GTC
30,1700000000000752858,1,SELL,MARKET,0,5,IOC
31,1700000000000788697,1,BUY,LIMIT,9986,10,GTC
32,1700000000000815874,1,SELL,LIMIT,9994,100,GTC
33,1700000000000864154,1,BUY,LIMIT,9985,100,GTC
34,1700000000000871815,1,SELL,LIMIT,9974,25,GTC
35,1700000000000902633,1,BUY,LIMIT,9973,20,GTC
36,1700000000000906448,1,SELL,MARKET,0,5,IOC
37,1700000000000917847,1,SELL,LIMIT,9971,10,GTC
38,1700000000000943183,1,BUY,LIMIT,9981,10,GTC
39,1700000000000971405,1,SELL,LIMIT,9991,20,GTC
40,1700000000000982049,1,SELL,LIMIT,9985,100,GTC
